text,sentiment
This is the worst experience I have ever had (review 1),negative
The service was okay and acceptable (review 2),neutral
Absolutely fantastic quality and fast delivery (review 3),positive
I am very disappointed with the product (review 4),negative
It is average and nothing special (review 5),neutral
Great value for money and highly recommended (review 6),positive
Terrible support and poor response (review 7),negative
Satisfied with the purchase (review 8),neutral
Poor quality and waste of money (review 9),positive
I love this product and it works perfectly (review 10),negative
This is the worst experience I have ever had (review 11),neutral
The service was okay and acceptable (review 12),positive
Absolutely fantastic quality and fast delivery (review 13),negative
I am very disappointed with the product (review 14),neutral
It is average and nothing special (review 15),positive
Great value for money and highly recommended (review 16),negative
Terrible support and poor response (review 17),neutral
Satisfied with the purchase (review 18),positive
Poor quality and waste of money (review 19),negative
I love this product and it works perfectly (review 20),neutral
This is the worst experience I have ever had (review 21),positive
The service was okay and acceptable (review 22),negative
Absolutely fantastic quality and fast delivery (review 23),neutral
I am very disappointed with the product (review 24),positive
It is average and nothing special (review 25),negative
Great value for money and highly recommended (review 26),neutral
Terrible support and poor response (review 27),positive
Satisfied with the purchase (review 28),negative
Poor quality and waste of money (review 29),neutral
I love this product and it works perfectly (review 30),positive
This is the worst experience I have ever had (review 31),negative
The service was okay and acceptable (review 32),neutral
Absolutely fantastic quality and fast delivery (review 33),positive
I am very disappointed with the product (review 34),negative
It is average and nothing special (review 35),neutral
Great value for money and highly recommended (review 36),positive
Terrible support and poor response (review 37),negative
Satisfied with the purchase (review 38),neutral
Poor quality and waste of money (review 39),positive
I love this product and it works perfectly (review 40),negative
This is the worst experience I have ever had (review 41),neutral
The service was okay and acceptable (review 42),positive
Absolutely fantastic quality and fast delivery (review 43),negative
I am very disappointed with the product (review 44),neutral
It is average and nothing special (review 45),positive
Great value for money and highly recommended (review 46),negative
Terrible support and poor response (review 47),neutral
Satisfied with the purchase (review 48),positive
Poor quality and waste of money (review 49),negative
I love this product and it works perfectly (review 50),neutral
This is the worst experience I have ever had (review 51),positive
The service was okay and acceptable (review 52),negative
Absolutely fantastic quality and fast delivery (review 53),neutral
I am very disappointed with the product (review 54),positive
It is average and nothing special (review 55),negative
Great value for money and highly recommended (review 56),neutral
Terrible support and poor response (review 57),positive
Satisfied with the purchase (review 58),negative
Poor quality and waste of money (review 59),neutral
I love this product and it works perfectly (review 60),positive
This is the worst experience I have ever had (review 61),negative
The service was okay and acceptable (review 62),neutral
Absolutely fantastic quality and fast delivery (review 63),positive
I am very disappointed with the product (review 64),negative
It is average and nothing special (review 65),neutral
Great value for money and highly recommended (review 66),positive
Terrible support and poor response (review 67),negative
Satisfied with the purchase (review 68),neutral
Poor quality and waste of money (review 69),positive
I love this product and it works perfectly (review 70),negative
This is the worst experience I have ever had (review 71),neutral
The service was okay and acceptable (review 72),positive
Absolutely fantastic quality and fast delivery (review 73),negative
I am very disappointed with the product (review 74),neutral
It is average and nothing special (review 75),positive
Great value for money and highly recommended (review 76),negative
Terrible support and poor response (review 77),neutral
Satisfied with the purchase (review 78),positive
Poor quality and waste of money (review 79),negative
I love this product and it works perfectly (review 80),neutral
This is the worst experience I have ever had (review 81),positive
The service was okay and acceptable (review 82),negative
Absolutely fantastic quality and fast delivery (review 83),neutral
I am very disappointed with the product (review 84),positive
It is average and nothing special (review 85),negative
Great value for money and highly recommended (review 86),neutral
Terrible support and poor response (review 87),positive
